iteration,problem,metric,metric_display_name,seed,original_value,refactored_value,absolute_difference,relative_error
3,Problem 1,E_T_all,Expected total processing time (h),20263356,10.032930643946132,10.032930643946134,1.7763568394002505e-15,1.7705263820119236e-16
3,Problem 2,makespan_days,Makespan (days),20263356,60.239583333333336,60.145833333333336,0.09375,0.0015562856648798202
3,Problem 2,qualified_count,Qualified robots,20263356,112.0,112.0,0.0,0.0
3,Problem 2,omission_probability,Omission probability,20263356,0.0,0.0,0.0,0.0
3,Problem 2,misjudgment_probability,Misjudgment probability,20263356,0.008403361344537815,0.008403361344537815,0.0,0.0
3,Problem 2,throughput_per_day,Throughput per day,20263356,1.8592426076430917,1.8621406304121926,0.002898022769100894,0.001558711465188846
3,Problem 2,stage_E_station_utilization,Stage E utilization,20263356,0.5440375671544747,0.26503109882515535,0.27900646832931936,0.5128441217554705
3,Problem 3,makespan_days,Makespan (days),20263356,31.26388888888889,31.361111111111114,0.09722222222222499,0.0031097290093292755
3,Problem 3,qualified_count,Qualified robots,20263356,112.0,112.0,0.0,0.0
3,Problem 3,omission_probability,Omission probability,20263356,0.0,0.0,0.0,0.0
3,Problem 3,misjudgment_probability,Misjudgment probability,20263356,0.00847457627118644,0.022964509394572025,0.014489933123385585,1.709812108559499
3,Problem 3,throughput_per_day,Throughput per day,20263356,3.5824078187472232,3.5713020372010624,0.01110578154616082,0.0031000885739593262
3,Problem 3,stage_E_station_utilization,Stage E utilization,20263356,0.57332501905658,0.2746446511738369,0.29868036788274305,0.5209616848297127
4,Problem 1,P_out,Overall pass probability,20264365,0.9954679719485532,0.9954679719485532,0.0,0.0
4,Problem 1,P_E,Stage E pass probability,20264365,0.9998148653353256,0.9998148653353256,0.0,0.0
4,Problem 1,P_G,Hidden defect pool probability,20264365,0.0026292670345602343,0.0026292670345602343,0.0,0.0
4,Problem 1,E_T_all,Expected total processing time (h),20264365,10.607029925026517,10.607029925026517,0.0,0.0
4,Problem 2,makespan_days,Makespan (days),20264365,59.270833333333336,59.145833333333336,0.125,0.0021089630931458696
4,Problem 2,qualified_count,Qualified robots,20264365,105.0,106.0,1.0,0.009523809523809525
4,Problem 2,omission_probability,Omission probability,20264365,0.0,0.0,0.0,0.0
4,Problem 2,misjudgment_probability,Misjudgment probability,20264365,0.02335456475583864,0.021141649048625793,0.0022129157072128466,0.09475302709975007
4,Problem 2,throughput_per_day,Throughput per day,20264365,1.7715289982425306,1.792180345191969,0.020651346949438265,0.011657357553799973
4,Problem 2,stage_E_station_utilization,Stage E utilization,20264365,0.5322474133333215,0.2669828999765757,0.2652645133567458,0.498385725720048
4,Problem 3,makespan_days,Makespan (days),20264365,31.034722222222225,30.9375,0.09722222222222499,0.003132691877377578
4,Problem 3,qualified_count,Qualified robots,20264365,108.0,108.0,0.0,0.0
4,Problem 3,omission_probability,Omission probability,20264365,0.0,0.0,0.0,0.0
4,Problem 3,misjudgment_probability,Misjudgment probability,20264365,0.012711864406779662,0.012711864406779662,0.0,0.0
4,Problem 3,throughput_per_day,Throughput per day,20264365,3.4799731483553367,3.4909090909090907,0.010935942553754074,0.003142536475869789
